,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,1.265 $\pm$ 0.111,5.759 $\pm$ 0.125,11.677 $\pm$ 0.171,23.418 $\pm$ 0.309
RGD Linear Regression,0.588 $\pm$ 0.117,1.153 $\pm$ 0.38,3.403 $\pm$ 0.636,6.105 $\pm$ 3.169
Two-Stage Approach,3.181 $\pm$ 0.53,5.632 $\pm$ 1.013,11.31 $\pm$ 2.228,21.402 $\pm$ 3.312
PerfGD,1.653 $\pm$ 0.326,3.493 $\pm$ 0.914,27.057 $\pm$ 4.59,54.706 $\pm$ 3.428
RRM Neural Networks,0.87 $\pm$ 0.201,2.591 $\pm$ 0.808,22.731 $\pm$ 13.481,242.208 $\pm$ 121.139
$\mathrm{DFO(\lambda)}$,8.53 $\pm$ 4.491,16.533 $\pm$ 9.499,28.012 $\pm$ 19.797,49.682 $\pm$ 33.852
PPW,0.574 $\pm$ 0.007,0.568 $\pm$ 0.013,0.561 $\pm$ 0.022,0.572 $\pm$ 0.05
