,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,1.7726 $\pm$ 0.1534,2.8905 $\pm$ 1.2689,8.1894 $\pm$ 1.9775,18.4541 $\pm$ 0.0856
RGD Linear Regression,0.007 $\pm$ 0.0051,0.0038 $\pm$ 0.007,0.0009 $\pm$ 0.001,0.0745 $\pm$ 0.1583
Two-Stage Approach,0.9945 $\pm$ 0.271,0.7634 $\pm$ 0.2952,0.9234 $\pm$ 0.2865,0.855 $\pm$ 0.3694
PerfGD,0.007 $\pm$ 0.006,0.01 $\pm$ 0.008,0.0115 $\pm$ 0.0063,0.0105 $\pm$ 0.0074
RRM Neural Networks,3.7607 $\pm$ 0.2101,4.0246 $\pm$ 0.2328,4.0466 $\pm$ 0.2035,4.0506 $\pm$ 0.2259
$\mathrm{DFO(\lambda)}$,0.6709 $\pm$ 0.6284,0.6477 $\pm$ 0.6179,0.6082 $\pm$ 0.6624,0.5727 $\pm$ 0.6588
PPW,0.0 $\pm$ 0.0002,0.0002 $\pm$ 0.0012,0.0002 $\pm$ 0.001,0.0 $\pm$ 0.0003
