,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,1.374 $\pm$ 0.04,1.148 $\pm$ 0.007,1.181 $\pm$ 0.01,1.203 $\pm$ 0.002
RGD Linear Regression,0.906 $\pm$ 0.14,0.942 $\pm$ 0.062,0.908 $\pm$ 0.08,0.907 $\pm$ 0.08
Two-Stage Approach,2.152 $\pm$ 1.274,1.841 $\pm$ 0.999,1.921 $\pm$ 0.979,2.019 $\pm$ 0.832
PerfGD,7.078 $\pm$ 2.557,6.244 $\pm$ 3.259,6.342 $\pm$ 3.295,6.211 $\pm$ 3.188
RRM Neural Networks,0.322 $\pm$ 0.052,0.352 $\pm$ 0.089,0.403 $\pm$ 0.105,0.413 $\pm$ 0.136
$\mathrm{DFO(\lambda)}$,1.486 $\pm$ 0.595,1.605 $\pm$ 0.619,1.571 $\pm$ 0.56,1.516 $\pm$ 0.446
PPW,0.111 $\pm$ 0.011,0.13 $\pm$ 0.111,0.146 $\pm$ 0.175,0.174 $\pm$ 0.258
