,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,20.6079 $\pm$ 2.8333,94.1694 $\pm$ 6.0703,383.9219 $\pm$ 22.256,1544.7306 $\pm$ 71.4488
RGD Linear Regression,0.0068 $\pm$ 0.0081,0.0105 $\pm$ 0.0055,0.1188 $\pm$ 0.1566,0.9361 $\pm$ 0.1732
Two-Stage Approach,1.0253 $\pm$ 0.2007,1.0109 $\pm$ 0.2143,0.9521 $\pm$ 0.1823,0.8177 $\pm$ 0.2303
PerfGD,0.0124 $\pm$ 0.0083,0.0509 $\pm$ 0.0348,0.0905 $\pm$ 0.0667,0.1108 $\pm$ 0.0912
RRM Neural Networks,3.5512 $\pm$ 0.1926,4.1015 $\pm$ 0.2482,5.8603 $\pm$ 0.7656,6.8245 $\pm$ 1.2783
$\mathrm{DFO(\lambda)}$,0.3444 $\pm$ 0.5334,0.3872 $\pm$ 0.545,0.3932 $\pm$ 0.5173,0.4245 $\pm$ 0.522
PPW,0.0004 $\pm$ 0.001,0.0001 $\pm$ 0.0005,0.0001 $\pm$ 0.0002,0.0 $\pm$ 0.0004
