,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,2.701 $\pm$ 0.23,5.786 $\pm$ 0.135,11.687 $\pm$ 0.17,23.421 $\pm$ 0.304
RGD Linear Regression,0.733 $\pm$ 0.129,0.816 $\pm$ 0.101,1.322 $\pm$ 0.155,3.835 $\pm$ 0.697
Two-Stage Approach,1.94 $\pm$ 0.214,3.379 $\pm$ 0.406,6.148 $\pm$ 0.665,10.594 $\pm$ 1.735
PerfGD,0.85 $\pm$ 0.018,2.046 $\pm$ 0.286,4.085 $\pm$ 0.705,7.457 $\pm$ 1.205
RRM Neural Networks,0.626 $\pm$ 0.053,2.019 $\pm$ 0.748,11.83 $\pm$ 6.801,128.771 $\pm$ 71.596
$\mathrm{DFO(\lambda)}$,2.747 $\pm$ 1.18,5.024 $\pm$ 2.663,8.377 $\pm$ 5.133,14.835 $\pm$ 9.023
PPW,0.505 $\pm$ 0.011,0.502 $\pm$ 0.012,0.504 $\pm$ 0.015,0.51 $\pm$ 0.036
