,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,5.958 $\pm$ 2.526,7.708 $\pm$ 2.446,11.66 $\pm$ 4.613,16.133 $\pm$ 5.747
RGD Linear Regression,0.832 $\pm$ 0.05,0.744 $\pm$ 0.035,0.727 $\pm$ 0.144,0.714 $\pm$ 0.094
Two-Stage Approach,1.944 $\pm$ 3.24,2.798 $\pm$ 5.158,4.291 $\pm$ 8.948,8.201 $\pm$ 18.783
PerfGD,2.991 $\pm$ 2.366,2.551 $\pm$ 2.46,1.28 $\pm$ 1.179,21.055 $\pm$ 0.997
$\mathrm{DFO(\lambda)}$,9.373 $\pm$ 3.307,42.845 $\pm$ 7.28,78.671 $\pm$ 18.595,140.702 $\pm$ 37.884
PPW,0.315 $\pm$ 0.013,0.31 $\pm$ 0.013,0.314 $\pm$ 0.015,0.314 $\pm$ 0.014
