,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,0.554 $\pm$ 0.008,0.621 $\pm$ 0.029,0.87 $\pm$ 0.078,1.251 $\pm$ 0.134
RGD Linear Regression,0.778 $\pm$ 0.066,0.67 $\pm$ 0.038,0.593 $\pm$ 0.019,0.556 $\pm$ 0.014
Two-Stage Approach,2.104 $\pm$ 3.496,3.052 $\pm$ 5.664,5.025 $\pm$ 10.324,10.361 $\pm$ 23.401
PerfGD,3.069 $\pm$ 2.228,2.187 $\pm$ 2.154,1.373 $\pm$ 1.333,0.639 $\pm$ 0.395
$\mathrm{DFO(\lambda)}$,22.611 $\pm$ 4.635,39.922 $\pm$ 10.04,65.251 $\pm$ 18.2,116.14 $\pm$ 27.189
PPW,0.35 $\pm$ 0.005,0.35 $\pm$ 0.005,0.351 $\pm$ 0.006,0.35 $\pm$ 0.006
