,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,0.516 $\pm$ 0.074,0.5 $\pm$ 0.005,0.498 $\pm$ 0.008,0.498 $\pm$ 0.009
RGD Linear Regression,0.645 $\pm$ 0.224,0.581 $\pm$ 0.167,0.582 $\pm$ 0.168,2.353 $\pm$ 0.63
Two-Stage Approach,1.343 $\pm$ 0.294,1.788 $\pm$ 0.296,2.66 $\pm$ 0.481,4.296 $\pm$ 1.021
PerfGD,1.915 $\pm$ 0.272,2.475 $\pm$ 0.462,2.487 $\pm$ 0.763,2.159 $\pm$ 1.331
RRM Neural Networks,0.507 $\pm$ 0.14,0.466 $\pm$ 0.054,0.608 $\pm$ 0.065,1.081 $\pm$ 0.099
$\mathrm{DFO(\lambda)}$,2.689 $\pm$ 0.313,3.576 $\pm$ 0.71,5.314 $\pm$ 1.016,8.639 $\pm$ 2.277
PPW,0.25 $\pm$ 0.008,0.254 $\pm$ 0.003,0.255 $\pm$ 0.001,0.256 $\pm$ 0.012
