,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,7.5586 $\pm$ 1.8423,3.1373 $\pm$ 0.0601,3.0857 $\pm$ 0.0472,2.9949 $\pm$ 0.0106
RGD Linear Regression,0.0055 $\pm$ 0.0019,0.0054 $\pm$ 0.0019,0.0054 $\pm$ 0.0018,0.0054 $\pm$ 0.0018
Two-Stage Approach,1.6951 $\pm$ 0.2855,1.7416 $\pm$ 0.2429,1.962 $\pm$ 0.2374,1.9076 $\pm$ 0.2248
PerfGD,0.0157 $\pm$ 0.0148,0.0084 $\pm$ 0.0054,0.0081 $\pm$ 0.0053,0.0069 $\pm$ 0.0037
RRM Neural Networks,5.6461 $\pm$ 0.45,6.099 $\pm$ 0.4761,5.7176 $\pm$ 0.3129,5.6119 $\pm$ 0.3253
$\mathrm{DFO(\lambda)}$,0.5339 $\pm$ 0.8478,0.5375 $\pm$ 0.8474,0.535 $\pm$ 0.8518,0.5436 $\pm$ 0.855
PPW,0.0006 $\pm$ 0.0012,0.0042 $\pm$ 0.0204,0.0002 $\pm$ 0.0004,0.0004 $\pm$ 0.0014
