,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,0.669 $\pm$ 0.055,0.986 $\pm$ 0.077,1.066 $\pm$ 0.003,1.079 $\pm$ 0.002
RGD Linear Regression,0.614 $\pm$ 0.215,0.604 $\pm$ 0.208,1.983 $\pm$ 0.144,2.766 $\pm$ 0.703
Two-Stage Approach,0.831 $\pm$ 0.066,0.822 $\pm$ 0.214,2.153 $\pm$ 0.952,1.188 $\pm$ 0.906
PerfGD,0.387 $\pm$ 0.332,0.761 $\pm$ 0.297,0.599 $\pm$ 0.316,0.88 $\pm$ 0.214
RRM Neural Networks,2.679 $\pm$ 1.585,6.831 $\pm$ 2.864,17.227 $\pm$ 8.313,43.209 $\pm$ 22.232
$\mathrm{DFO(\lambda)}$,1.19 $\pm$ 0.52,1.811 $\pm$ 1.061,3.201 $\pm$ 1.499,7.771 $\pm$ 4.124
PPW,0.148 $\pm$ 0.001,0.148 $\pm$ 0.002,0.147 $\pm$ 0.002,0.147 $\pm$ 0.002
