,d = 2,d = 4,d = 8,d = 16
PPW-AVG,0.052 $\pm$ 0.004,0.057 $\pm$ 0.036,0.051 $\pm$ 0.012,0.074 $\pm$ 0.07
PPW-EMA,0.054 $\pm$ 0.008,0.065 $\pm$ 0.066,0.056 $\pm$ 0.028,0.085 $\pm$ 0.097
RRM_Linear_Regression,0.414 $\pm$ 0.196,0.989 $\pm$ 0.08,1.053 $\pm$ 0.01,1.086 $\pm$ 0.005
RGD_Linear_Regression,4.377 $\pm$ 2.083,4.385 $\pm$ 2.082,4.389 $\pm$ 2.082,4.39 $\pm$ 2.083
Two-Stage Approach,23.206 $\pm$ 8.092,23.382 $\pm$ 7.966,23.893 $\pm$ 7.664,22.72 $\pm$ 8.153
PerGD,22.574 $\pm$ 7.981,24.601 $\pm$ 8.063,24.511 $\pm$ 8.988,24.795 $\pm$ 9.158
