,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,0.912 $\pm$ 0.1,1.319 $\pm$ 0.155,1.874 $\pm$ 0.258,2.641 $\pm$ 0.36
RGD Linear Regression,0.781 $\pm$ 0.047,0.691 $\pm$ 0.033,0.581 $\pm$ 0.055,0.521 $\pm$ 0.024
Two-Stage Approach,1.972 $\pm$ 3.296,2.731 $\pm$ 5.213,4.794 $\pm$ 9.878,9.074 $\pm$ 20.709
PerfGD,3.055 $\pm$ 2.032,2.187 $\pm$ 2.302,1.345 $\pm$ 1.199,1.006 $\pm$ 1.778
$\mathrm{DFO(\lambda)}$,19.997 $\pm$ 3.615,42.978 $\pm$ 9.163,77.258 $\pm$ 21.268,130.093 $\pm$ 36.162
PPW,0.268 $\pm$ 0.01,0.271 $\pm$ 0.009,0.277 $\pm$ 0.01,0.279 $\pm$ 0.01
