,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,0.497 $\pm$ 0.09,0.557 $\pm$ 0.109,0.609 $\pm$ 0.145,0.74 $\pm$ 0.173
RGD Linear Regression,0.757 $\pm$ 0.049,0.665 $\pm$ 0.024,0.584 $\pm$ 0.045,0.53 $\pm$ 0.029
Two-Stage Approach,2.724 $\pm$ 4.154,6.334 $\pm$ 6.518,12.743 $\pm$ 9.241,23.32 $\pm$ 16.961
PerfGD,0.322 $\pm$ 0.125,0.459 $\pm$ 0.156,100.536 $\pm$ 8.005,202.932 $\pm$ 7.995
$\mathrm{DFO(\lambda)}$,24.77 $\pm$ 5.506,39.544 $\pm$ 10.802,66.8 $\pm$ 18.739,118.594 $\pm$ 27.533
PPW,0.222 $\pm$ 0.006,0.221 $\pm$ 0.005,0.221 $\pm$ 0.006,0.22 $\pm$ 0.006
