,d = 2,d = 4,d = 8,d = 16
PPW,0.0 $\pm$ 0.001,0.0 $\pm$ 0.001,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0
RRM_Linear_Regression,0.074 $\pm$ 0.036,0.043 $\pm$ 0.015,0.027 $\pm$ 0.009,0.02 $\pm$ 0.006
RGD_Linear_Regression,0.009 $\pm$ 0.008,0.007 $\pm$ 0.003,0.008 $\pm$ 0.003,0.009 $\pm$ 0.003
Two-Stage Approach,0.945 $\pm$ 1.079,1.081 $\pm$ 0.948,1.275 $\pm$ 0.746,1.417 $\pm$ 0.638
PerGD,0.228 $\pm$ 0.318,0.591 $\pm$ 0.8,0.301 $\pm$ 0.404,0.07 $\pm$ 0.147
DFO,0.657 $\pm$ 1.043,0.803 $\pm$ 1.009,0.924 $\pm$ 0.895,1.003 $\pm$ 0.779
