,d = 2,d = 4,d = 8,d = 16
PPW-AVG,0.001 $\pm$ 0.002,0.0 $\pm$ 0.001,0.0 $\pm$ 0.001,0.0 $\pm$ 0.0
PPW-EMA,0.0 $\pm$ 0.001,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0
RRM_Linear_Regression,0.064 $\pm$ 0.022,0.036 $\pm$ 0.018,0.02 $\pm$ 0.009,0.012 $\pm$ 0.004
RGD_Linear_Regression,0.009 $\pm$ 0.013,0.006 $\pm$ 0.008,0.005 $\pm$ 0.003,0.005 $\pm$ 0.001
Two-Stage Approach,1.923 $\pm$ 3.757,1.522 $\pm$ 3.108,1.239 $\pm$ 2.387,1.204 $\pm$ 2.313
PerGD,6.228 $\pm$ 0.297,6.287 $\pm$ 0.314,6.21 $\pm$ 0.286,6.212 $\pm$ 0.308
