,d = 2,d = 4,d = 8,d = 16
PPW-AVG,0.042 $\pm$ 0.002,0.042 $\pm$ 0.002,0.042 $\pm$ 0.002,0.042 $\pm$ 0.002
PPW-EMA,0.042 $\pm$ 0.002,0.042 $\pm$ 0.002,0.042 $\pm$ 0.002,0.042 $\pm$ 0.002
RRM_Linear_Regression,0.055 $\pm$ 0.022,0.092 $\pm$ 0.114,0.153 $\pm$ 0.508,0.232 $\pm$ 0.885
RGD_Linear_Regression,0.434 $\pm$ 0.42,0.209 $\pm$ 0.148,0.126 $\pm$ 0.064,0.081 $\pm$ 0.012
Two-Stage Approach,257377.006 $\pm$ 1698553.74,154914.951 $\pm$ 1481021.789,39557.328 $\pm$ 337148.667,89252.636 $\pm$ 662255.49
PerGD,1685.057 $\pm$ 304.011,6937.146 $\pm$ 1592.965,27682.366 $\pm$ 5190.199,111495.378 $\pm$ 22628.859
