,d = 2,d = 4,d = 8,d = 16
RRM Linear Regression,20.6688 $\pm$ 2.6242,94.2347 $\pm$ 5.738,384.112 $\pm$ 21.3062,1544.8429 $\pm$ 70.8949
RGD Linear Regression,0.0068 $\pm$ 0.0082,0.0103 $\pm$ 0.0054,0.1192 $\pm$ 0.1487,0.9351 $\pm$ 0.1707
Two-Stage Approach,1.0239 $\pm$ 0.1975,1.04 $\pm$ 0.2027,0.9996 $\pm$ 0.1999,0.9312 $\pm$ 0.2055
PerfGD,0.0208 $\pm$ 0.0159,0.0546 $\pm$ 0.0317,0.119 $\pm$ 0.0731,0.0928 $\pm$ 0.0878
RRM Neural Networks,3.608 $\pm$ 0.1668,4.1935 $\pm$ 0.2683,6.0005 $\pm$ 0.738,6.6806 $\pm$ 1.1679
$\mathrm{DFO(\lambda)}$,0.3447 $\pm$ 0.5334,0.3874 $\pm$ 0.545,0.3933 $\pm$ 0.5172,0.4245 $\pm$ 0.522
PPW,0.0005 $\pm$ 0.0011,0.0001 $\pm$ 0.0004,0.0001 $\pm$ 0.0002,0.0 $\pm$ 0.0003
